episode,avg_reward,best_reward,actor_loss,value_loss
0,-499.1,-inf,-608.508,50024.996
100,-321.1,-289.0,-249.664,7761.595
200,-208.0,-146.0,-192.166,5744.786
300,-172.0,-146.0,-187.898,4939.944
400,-174.1,-106.0,-262.183,9683.680
500,-173.1,-106.0,-181.949,4411.909
600,-140.1,-83.7,-277.062,10544.255
700,-123.7,-83.7,-177.537,4631.977
800,-107.2,-83.7,-178.236,4045.355
900,-86.0,-82.9,-108.935,2321.325
1000,-82.0,-72.6,-106.126,1790.292
1100,-82.9,-60.8,-181.272,4718.617
1200,-102.6,-60.8,-80.837,922.257
1300,-93.1,-60.8,100.814,3181.008
1400,-121.3,-60.8,14.571,935.437
1500,-64.3,-46.9,-24.717,314.956
1600,-125.0,-43.2,-37.691,670.873
1700,-93.8,-10.3,-52.376,672.826
1800,-122.0,-10.3,-34.998,561.276
1900,-87.2,-10.3,-119.402,2052.384
2000,-20.6,-10.3,81.642,1394.250
2100,-59.8,-10.3,-93.460,7145.073
2200,-43.2,-10.3,49.186,1166.660
2300,-67.5,-7.8,89.684,2172.917
2400,-39.6,-5.2,73.157,1616.146
2500,-107.3,-3.6,-153.389,6228.375
2600,-80.7,-3.6,29.724,614.008
2700,-93.2,-3.6,-150.097,11641.219
2800,-75.3,-3.6,58.905,1021.675
2900,-118.4,-3.6,-215.537,14443.053
3000,-57.9,-3.6,-211.395,10913.662
3100,-28.2,1.5,33.136,847.647
3200,-21.4,1.5,130.937,3113.163
3300,-43.6,1.5,98.200,1838.280
3400,-74.1,1.5,-334.827,25558.881
3500,-131.7,1.5,29.045,1687.994
3600,-46.0,1.5,77.437,1544.180
3700,-92.4,1.5,8.409,1233.923
3800,-20.5,5.6,-155.036,7199.310
3900,-59.4,5.6,-11.334,1609.913
4000,-36.3,5.6,3.094,788.411
4100,-71.0,5.6,32.086,1328.087
4200,-69.4,5.6,-141.552,4484.327
4300,-82.0,10.2,75.197,1879.147
4400,-29.4,10.2,23.137,588.460
4500,-28.3,10.2,31.047,891.794
4600,-33.0,10.2,-10.796,1339.333
4700,-25.6,10.2,34.364,801.883
4800,4.0,10.2,46.275,1450.866
4900,-31.2,10.2,8.115,833.516
5000,-31.4,10.2,44.537,864.381
5100,-6.8,12.6,44.846,714.408
5200,-34.3,12.6,13.889,2411.148
5300,-16.7,12.6,10.753,464.434
5400,-22.0,12.6,8.534,611.457
5500,-25.6,12.6,8.324,476.418
5600,-21.2,12.6,-0.977,1104.585
5700,-20.7,12.6,3.376,519.878
5800,-51.4,12.6,5.618,445.361
5900,-31.2,12.6,3.224,550.414
6000,-29.4,12.6,66.191,1691.213
6100,-44.4,15.4,18.293,587.476
6200,-17.8,15.4,70.100,977.508
6300,-36.4,15.4,19.204,473.009
6400,-22.6,15.4,3.015,536.757
6500,-7.7,15.4,18.250,480.781
6600,-14.5,15.4,16.533,647.421
6700,-35.8,15.4,-4.276,189.629
6800,-72.8,15.4,-42.408,845.954
6900,-32.0,15.4,23.955,204.043
7000,-15.8,15.4,70.196,1033.079
7100,-30.8,15.4,22.552,449.872
7200,-41.6,15.4,26.502,896.275
7300,-12.1,15.4,18.070,127.713
7400,-15.1,15.4,10.296,663.377
7500,-30.3,15.4,22.769,456.663
7600,-16.4,15.4,13.386,147.177
7700,-25.7,15.4,0.352,578.354
7800,-31.2,15.4,-27.464,593.019
7900,-21.4,15.4,13.722,565.857
8000,-49.1,15.4,23.283,728.462
8100,-49.2,15.4,12.909,398.506
8200,-14.5,15.4,25.147,163.260
8300,-19.7,15.4,-1.976,185.624
8400,-62.9,15.4,3.236,416.526
8500,-51.0,15.4,-5.993,168.798
8600,-7.0,15.4,14.058,415.309
8700,-11.8,15.5,-56.784,688.441
8800,-32.4,15.5,23.042,559.990
8900,-18.4,15.5,19.188,265.575
9000,-0.0,15.5,26.336,562.795
9100,-33.2,15.5,29.874,743.024
9200,-21.6,15.5,30.004,601.352
9300,-16.7,15.5,33.355,1008.706
9400,-9.9,15.5,23.336,242.563
9500,-25.7,15.5,34.727,742.057
9600,-12.5,15.5,36.180,372.754
9700,-3.5,15.5,30.722,547.621
9800,-30.3,15.5,26.755,410.692
9900,-29.5,15.5,17.404,319.916
