episode,avg_reward,best_reward,actor_loss,critic_loss,noise_std
0,-228.3,-inf,1.205,81.509,0.199
100,-61.8,75.2,-93.859,77.761,0.121
200,0.2,75.2,-144.702,18.133,0.073
300,-243.8,75.2,-162.610,71.273,0.050
400,-3.2,97.5,-144.808,22.305,0.050
500,-31.4,146.7,-121.199,52.155,0.050
600,-84.8,146.7,-133.560,18.272,0.050
700,-265.2,146.7,-134.106,35.701,0.050
800,59.5,167.5,-127.592,5.035,0.050
900,-117.4,167.5,-132.133,9.627,0.050
1000,-193.6,167.5,-161.774,56.655,0.050
1100,-91.0,167.5,-214.858,64.412,0.050
1200,105.9,167.5,-207.988,49.574,0.050
1300,-76.3,259.2,-234.361,42.870,0.050
1400,-119.2,259.2,-224.189,339.694,0.050
1500,-164.9,259.2,-211.740,30.422,0.050
1600,-341.2,259.2,-238.777,30.357,0.050
1700,-12.4,259.2,-221.980,21.593,0.050
1800,-263.1,259.2,-243.567,52.805,0.050
1900,-60.7,259.2,-265.770,119.937,0.050
2000,-786.8,259.2,-427.123,143.889,0.050
2100,-95.1,259.2,-446.610,117.704,0.050
2200,-332.9,259.2,-326.160,94.874,0.050
2300,-695.9,259.2,-581.814,890.549,0.050
2400,-148.3,259.2,-915.766,151.113,0.050
2500,-143.8,259.2,-465.017,37.453,0.050
2600,-123.6,259.2,-205.416,34.624,0.050
2700,-149.9,259.2,-266.335,38.963,0.050
2800,-148.5,259.2,-267.769,131.296,0.050
2900,-144.3,259.2,-299.781,23.057,0.050
3000,-158.1,259.2,-192.905,24.874,0.050
3100,-136.5,259.2,-233.467,20.221,0.050
3200,-177.8,259.2,-159.363,6.888,0.050
3300,-186.6,259.2,-232.513,29.528,0.050
3400,-20.8,259.2,-120.538,11.768,0.050
3500,-91.8,259.2,-134.001,13.071,0.050
3600,-43.4,259.2,-136.867,4.527,0.050
3700,-41.8,259.2,-180.159,11.997,0.050
3800,-164.8,259.2,-109.209,16.462,0.050
3900,-268.9,259.2,-199.759,58.816,0.050
4000,-40.3,259.2,-108.690,5.302,0.050
4100,179.2,259.2,-63.608,2.633,0.050
4200,-122.5,259.2,-133.388,11.611,0.050
4300,-125.4,259.2,-148.672,510.050,0.050
4400,-141.5,259.2,-118.929,4.294,0.050
4500,-71.3,259.2,-154.393,9.923,0.050
4600,-159.9,259.2,-167.300,10.895,0.050
4700,-133.4,259.2,-97.568,12.263,0.050
4800,-50.4,259.2,-53.664,1.309,0.050
4900,-105.1,259.2,-89.051,3.174,0.050
5000,-166.1,259.2,-50.707,4.753,0.050
5100,-80.0,259.2,-55.856,6.226,0.050
5200,-193.0,259.2,-529.098,834.731,0.050
5300,-114.3,259.2,-229.365,21.661,0.050
5400,-116.2,259.2,-127.009,5.273,0.050
5500,18.2,259.2,-99.098,4.415,0.050
5600,-16.4,259.2,-55.229,2.692,0.050
5700,-57.3,259.2,-64.013,9.617,0.050
5800,-39.4,259.2,-59.177,3.903,0.050
0,-206.1,-inf,0.684,77.672,0.199
100,-770.6,-111.9,6.362,152.321,0.121
0,-273.1,-inf,0.000,0.000,0.199
0,-327.8,-inf,0.000,0.000,0.199
100,-142.6,-45.4,-90.681,23.776,0.121
200,-116.1,-18.8,-307.146,77.857,0.073
300,-194.2,57.3,-407.064,68.814,0.050
400,-262.1,108.5,-608.074,577.029,0.050
500,-180.6,108.5,-501.426,140.153,0.050
600,-141.3,108.5,-420.338,210.998,0.050
700,-64.0,108.5,-358.518,181.526,0.050
800,-115.9,108.5,-325.310,362.018,0.050
900,-292.0,115.9,-328.015,157.882,0.050
1000,-110.4,115.9,-378.942,103.898,0.050
1100,-240.0,115.9,-372.505,131.152,0.050
1200,-210.6,115.9,-334.187,207.602,0.050
1300,-114.0,115.9,-316.510,78.536,0.050
1400,1.9,115.9,-317.015,131.507,0.050
1500,-36.2,115.9,-299.594,134.876,0.050
1600,-169.7,115.9,-355.374,67.412,0.050
1700,-215.6,115.9,-404.910,429.035,0.050
1800,-153.4,115.9,-505.882,276.522,0.050
1900,-243.8,115.9,-547.954,406.632,0.050
2000,-44.4,115.9,-613.354,2725.319,0.050
2100,-233.7,115.9,-601.056,141.965,0.050
2200,-355.5,115.9,-520.181,146.881,0.050
2300,-236.7,115.9,-515.204,153.025,0.050
2400,-117.5,115.9,-522.313,545.597,0.050
2500,-244.6,115.9,-522.320,199.903,0.050
2600,-55.9,115.9,-525.581,197.978,0.050
2700,-448.2,115.9,-516.960,166.930,0.050
2800,-307.3,115.9,-528.640,454.495,0.050
2900,-217.6,115.9,-669.365,3305.427,0.050
3000,-178.8,115.9,-517.670,191.370,0.050
3100,-281.3,115.9,-497.836,2611.587,0.050
3200,-205.9,115.9,-396.705,198.389,0.050
3300,-182.7,115.9,-322.827,669.130,0.050
3400,-120.4,115.9,-268.977,51.585,0.050
3500,-227.7,115.9,-299.530,146.106,0.050
3600,-120.2,115.9,-338.077,25.999,0.050
3700,-94.1,115.9,-291.818,52.797,0.050
3800,-83.3,115.9,-209.145,23.317,0.050
3900,-556.4,115.9,-224.751,31.383,0.050
4000,-264.5,115.9,-196.453,13.450,0.050
4100,-143.6,115.9,-254.545,14.513,0.050
4200,-143.4,115.9,-174.112,10.295,0.050
4300,-27.5,115.9,-94.942,3.232,0.050
4400,48.8,115.9,-55.581,4.065,0.050
4500,188.6,235.9,-89.793,3.321,0.050
