episode,avg_reward,best_reward,actor_loss,value_loss,entropy
0,-402.2,-inf,-0.012,44528.777,2.832
100,-230.1,-78.6,-0.010,8395.453,2.886
200,-164.1,-78.6,-0.003,6596.674,2.915
300,-74.8,-31.2,-0.003,545.534,2.915
400,-72.6,2.1,0.000,508.414,2.912
500,-30.6,2.1,-0.002,581.690,2.951
600,-58.4,7.4,-0.001,490.130,2.983
700,-40.7,13.3,-0.017,1217.898,3.048
800,-2.1,23.4,-0.004,723.092,3.077
900,-69.6,23.4,-0.001,745.383,3.130
1000,-84.6,23.4,-0.000,358.234,3.178
1100,-26.1,23.4,-0.003,621.871,3.162
1200,-41.9,23.4,-0.012,5087.374,3.149
1300,-58.0,23.4,-0.000,911.942,3.146
1400,-14.8,23.4,-0.003,612.395,3.187
1500,-22.6,23.4,0.001,576.254,3.181
1600,-69.5,23.4,-0.001,563.181,3.237
1700,-20.8,23.4,-0.001,757.924,3.352
1800,-60.5,23.4,-0.001,140.371,3.352
1900,-72.7,23.4,-0.003,444.846,3.383
2000,-19.8,23.4,-0.007,523.733,3.411
2100,-54.0,23.4,-0.000,394.232,3.466
2200,-8.3,24.6,-0.000,1205.780,3.486
2300,25.9,50.2,-0.005,793.337,3.520
2400,21.9,53.2,-0.004,628.395,3.566
2500,13.4,63.6,-0.001,861.566,3.615
2600,-15.4,73.7,-0.008,26850.240,3.616
2700,54.3,75.7,-0.001,773.087,3.575
2800,-58.3,83.8,-0.003,22692.713,3.521
2900,14.9,83.8,-0.006,28624.598,3.529
3000,84.3,92.0,-0.001,911.948,3.569
3100,23.5,92.9,-0.002,323.311,3.558
3200,25.0,92.9,-0.009,731.423,3.559
3300,-51.7,92.9,-0.007,2406.279,3.599
3400,56.3,92.9,-0.001,890.947,3.568
3500,30.5,92.9,-0.017,205.349,3.645
3600,28.3,92.9,0.000,888.331,3.703
3700,61.0,92.9,-0.000,456.798,3.749
3800,40.4,92.9,-0.002,662.711,3.791
3900,-109.3,98.1,-0.003,31609.539,3.792
4000,44.3,98.1,0.000,776.689,3.828
4100,0.9,98.1,-0.000,1919.570,3.891
4200,-8.3,98.1,-0.001,1371.918,3.863
4300,60.9,98.1,-0.000,757.981,3.854
4400,46.7,98.1,-0.013,996.545,3.867
4500,28.6,98.1,-0.003,459.695,3.934
4600,31.9,98.1,-0.003,797.522,3.923
4700,-103.5,98.1,-0.001,595.229,3.981
4800,3.7,98.1,-0.003,213.977,3.987
4900,28.8,98.1,-0.004,584.017,3.884
5000,-110.6,98.1,-0.008,8626.732,3.781
5100,66.9,98.1,-0.003,639.360,3.803
5200,52.7,98.1,-0.002,554.446,3.735
5300,-46.4,98.1,-0.005,19550.000,3.745
5400,20.8,98.1,-0.004,199.781,3.661
5500,81.5,98.1,-0.000,363.041,3.676
5600,-35.6,99.7,-0.004,178.661,3.640
5700,29.6,99.7,-0.001,526.685,3.636
5800,89.4,101.5,-0.002,686.324,3.647
5900,53.6,106.4,-0.002,816.822,3.647
6000,38.7,106.4,-0.002,355.082,3.635
6100,32.1,110.8,0.001,189.264,3.638
6200,38.4,110.8,-0.000,488.767,3.637
6300,51.2,110.8,-0.000,442.021,3.632
6400,-15.8,110.8,-0.001,252.083,3.713
6500,74.2,110.8,-0.002,539.458,3.622
6600,4.7,110.8,-0.000,303.685,3.645
6700,-0.7,110.8,-0.002,967.159,3.641
6800,15.0,110.8,-0.002,1622.215,3.677
6900,78.9,110.8,-0.001,262.640,3.629
7000,29.4,110.8,-0.002,177.957,3.625
7100,15.4,110.8,-0.003,206.349,3.708
7200,77.3,110.8,-0.002,128.730,3.677
7300,-2.9,110.8,-0.003,192.201,3.667
7400,39.5,110.8,-0.001,473.074,3.798
7500,50.4,110.8,-0.001,217.707,3.805
7600,22.4,110.8,-0.002,132.141,3.912
7700,14.8,110.8,-0.006,670.840,3.917
7800,43.1,110.8,-0.005,2142.071,3.977
7900,-35.8,110.8,-0.001,1755.072,3.951
8000,61.4,110.8,-0.002,517.234,3.935
8100,-46.5,110.8,-0.003,31238.328,3.920
8200,51.0,110.8,-0.001,321.825,3.930
8300,47.6,110.8,-0.006,1906.395,3.970
8400,38.1,110.8,-0.000,448.482,4.000
8500,-15.0,110.8,-0.000,1060.257,3.967
8600,-36.3,110.8,-0.002,2971.406,3.944
8700,52.7,110.8,-0.000,402.646,3.995
8800,24.7,110.8,-0.010,463.178,3.956
8900,-37.9,110.8,-0.003,256.595,3.938
9000,23.8,110.8,-0.002,462.261,3.929
9100,40.5,110.8,-0.001,1034.855,3.967
9200,51.8,110.8,-0.000,160.389,3.986
9300,82.0,110.8,-0.003,531.431,3.922
9400,47.5,110.8,-0.007,637.509,3.980
9500,79.6,110.8,0.000,296.496,4.002
9600,52.7,110.8,-0.001,477.110,3.935
9700,28.8,110.8,-0.000,410.557,3.892
9800,38.9,110.8,-0.005,1254.708,3.915
9900,50.5,110.8,-0.002,1671.635,3.943
