state_with_history,Q_action_0,Q_action_1,best_action,best_q
x1|[],952.9488525390625,5.851977348327637,0,952.9488525390625
x2|[0],3.9009909629821777,962.5748291015625,1,962.5748291015625
x2|[1],3.8418002128601074,4.900989532470703,1,4.900989532470703
"x3|[0, 0]",2.8736519813537598,3.9403958320617676,1,3.9403958320617676
"x3|[0, 1]",971.2879638671875,3.9403958320617676,0,971.2879638671875
"x3|[1, 0]",2.275468587875366,3.9058237075805664,1,3.9058237075805664
"x3|[1, 1]",2.8994531631469727,3.9403958320617676,1,3.9403958320617676
"x4|[0, 0, 0]",1.6386312246322632,2.936349391937256,1,2.936349391937256
"x4|[0, 0, 1]",1.9153196811676025,2.9700980186462402,1,2.9700980186462402
"x4|[0, 1, 0]",1.9700987339019775,981.0992431640625,1,981.0992431640625
"x4|[0, 1, 1]",1.9619131088256836,2.9700980186462402,1,2.9700980186462402
"x4|[1, 0, 0]",1.0739786624908447,2.5521059036254883,1,2.5521059036254883
"x4|[1, 0, 1]",1.501304030418396,2.9547231197357178,1,2.9547231197357178
"x4|[1, 1, 0]",1.4943320751190186,2.9512503147125244,1,2.9512503147125244
"x4|[1, 1, 1]",1.9294453859329224,2.9700980186462402,1,2.9700980186462402
"x5|[0, 0, 0, 0]",0.5248956680297852,1.8124171495437622,1,1.8124171495437622
"x5|[0, 0, 0, 1]",0.7249603867530823,1.9767736196517944,1,1.9767736196517944
"x5|[0, 0, 1, 0]",0.8183121085166931,1.9669222831726074,1,1.9669222831726074
"x5|[0, 0, 1, 1]",0.9725923538208008,1.9899992942810059,1,1.9899992942810059
"x5|[0, 1, 0, 0]",0.9773297905921936,1.9899992942810059,1,1.9899992942810059
"x5|[0, 1, 0, 1]",989.99951171875,1.9899992942810059,0,989.99951171875
"x5|[0, 1, 1, 0]",0.552091121673584,1.987441897392273,1,1.987441897392273
"x5|[0, 1, 1, 1]",0.9783238172531128,1.9899992942810059,1,1.9899992942810059
"x5|[1, 0, 0, 0]",0.07342829555273056,1.408987045288086,1,1.408987045288086
"x5|[1, 0, 0, 1]",0.24474114179611206,1.7925450801849365,1,1.7925450801849365
"x5|[1, 0, 1, 0]",0.1587199866771698,1.7455369234085083,1,1.7455369234085083
"x5|[1, 0, 1, 1]",0.6907142996788025,1.985167384147644,1,1.985167384147644
"x5|[1, 1, 0, 0]",0.08064539730548859,1.739317536354065,1,1.739317536354065
"x5|[1, 1, 0, 1]",0.8124454617500305,1.983757495880127,1,1.983757495880127
"x5|[1, 1, 1, 0]",0.7740020751953125,1.9720767736434937,1,1.9720767736434937
"x5|[1, 1, 1, 1]",0.9849977493286133,1.9899992942810059,1,1.9899992942810059
"x6|[0, 0, 0, 0, 0]",0.0,0.8146979808807373,1,0.8146979808807373
"x6|[0, 0, 0, 0, 1]",0.0,0.9353891611099243,1,0.9353891611099243
"x6|[0, 0, 0, 1, 0]",0.0,0.8784233331680298,1,0.8784233331680298
"x6|[0, 0, 0, 1, 1]",0.0,0.9966186285018921,1,0.9966186285018921
"x6|[0, 0, 1, 0, 0]",0.0,0.9418502449989319,1,0.9418502449989319
"x6|[0, 0, 1, 0, 1]",0.0,0.9953616261482239,1,0.9953616261482239
"x6|[0, 0, 1, 1, 0]",0.0,0.9942736029624939,1,0.9942736029624939
"x6|[0, 0, 1, 1, 1]",0.0,0.9999997615814209,1,0.9999997615814209
"x6|[0, 1, 0, 0, 0]",0.0,0.9966186285018921,1,0.9966186285018921
"x6|[0, 1, 0, 0, 1]",0.0,0.9999997615814209,1,0.9999997615814209
"x6|[0, 1, 0, 1, 0]",999.999755859375,0.9999997615814209,0,999.999755859375
"x6|[0, 1, 0, 1, 1]",0.0,0.9999997615814209,1,0.9999997615814209
"x6|[0, 1, 1, 0, 0]",0.0,0.8146979808807373,1,0.8146979808807373
"x6|[0, 1, 1, 0, 1]",0.0,0.9994924664497375,1,0.9994924664497375
"x6|[0, 1, 1, 1, 0]",0.0,0.997534990310669,1,0.997534990310669
"x6|[0, 1, 1, 1, 1]",0.0,0.9999997615814209,1,0.9999997615814209
"x6|[1, 0, 0, 0, 0]",0.0,0.34389999508857727,1,0.34389999508857727
"x6|[1, 0, 0, 0, 1]",0.0,0.7712320685386658,1,0.7712320685386658
"x6|[1, 0, 0, 1, 0]",0.0,0.5217031240463257,1,0.5217031240463257
"x6|[1, 0, 0, 1, 1]",0.0,0.9353891611099243,1,0.9353891611099243
"x6|[1, 0, 1, 0, 0]",0.0,0.5217031240463257,1,0.5217031240463257
"x6|[1, 0, 1, 0, 1]",0.0,0.9353891611099243,1,0.9353891611099243
"x6|[1, 0, 1, 1, 0]",0.0,0.8784233331680298,1,0.8784233331680298
"x6|[1, 0, 1, 1, 1]",0.0,0.999226450920105,1,0.999226450920105
"x6|[1, 1, 0, 0, 0]",0.0,0.34389999508857727,1,0.34389999508857727
"x6|[1, 1, 0, 0, 1]",0.0,0.9202335476875305,1,0.9202335476875305
"x6|[1, 1, 0, 1, 0]",0.0,0.9353891611099243,1,0.9353891611099243
"x6|[1, 1, 0, 1, 1]",0.0,0.9988210201263428,1,0.9988210201263428
"x6|[1, 1, 1, 0, 0]",0.0,0.9418502449989319,1,0.9418502449989319
"x6|[1, 1, 1, 0, 1]",0.0,0.995825469493866,1,0.995825469493866
"x6|[1, 1, 1, 1, 0]",0.0,0.9991405010223389,1,0.9991405010223389
"x6|[1, 1, 1, 1, 1]",0.0,0.9999997615814209,1,0.9999997615814209
